Name,Email,Phone
Aarav Patel,aarav0@example.com,+13155624493
Vivaan Sharma,vivaan1@example.com,+12856590454
Aditya Singh,aditya2@example.com,+11006470348
Vihaan Gupta,vihaan3@example.com,+15460955008
Arjun Reddy,arjun4@example.com,+16995629616
Sai Kumar,sai5@example.com,+18484392370
Ayaan Khan,ayaan6@example.com,+14693768826
Krishna Rao,krishna7@example.com,+13127124201
Ishaan Verma,ishaan8@example.com,+13551760139
Shaurya Das,shaurya9@example.com,+14662057569
Aanya Joshi,aanya10@example.com,+10848611460
Diya Mishra,diya11@example.com,+19335842826
Navya Iyer,navya12@example.com,+19740058954
Kavya Menon,kavya13@example.com,+15055648332
Aadhya Nair,aadhya14@example.com,+19289752425
Ananya Bose,ananya15@example.com,+19620597399
Saanvi Desai,saanvi16@example.com,+11496791609
Myra Kapoor,myra17@example.com,+18759651417
Riya Malhotra,riya18@example.com,+17326493421
Tara Chopra,tara19@example.com,+19496481105
